"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Product Management API","1","Read Product","0","0","GET: Retrieve non-existent product","0"
"0","Fakestore API Tests","2","Authentication","0","0","User Login","0"
"0","Users API","0","Delete User","1","0","DELETE: Remove Existing User","0"
"0","Product Management API","0","Read Product","1","0","GET: Retrieve product by ID","0"
"0","Cart Management","1","Add Cart","0","0","Add a New Cart","0"
"0","Users API","1","Update User","0","0","PUT: Update Non-Existing User","0"
"0","Users API","1","Delete User","0","0","DELETE: Remove Non-Existing User","0"
"0","Cart Management","0","Update Cart","1","0","Update Existing Cart","0"
"0","Product Management API","0","Delete Product","1","0","DELETE: Remove a product","0"
"0","Product Management API","0","Read Product","1","0","GET: Retrieve all products","0"
"0","Cart Management","0","Retrieve Carts","1","0","Get All Carts","0"
"0","Users API","0","Retrieve Users","1","0","GET: Retrieve User by ID","0"
"0","Product Management API","1","Update Product","0","0","PUT: Update product details","0"
"0","Users API","0","Update User","1","0","PUT: Modify Existing User","0"
"0","Users API","1","Create User","0","0","POST: Add New User","0"
"0","Product Management API","1","Create Product","0","0","POST: Create a new product","0"
"0","Users API","0","Retrieve Users","1","0","GET: Retrieve All Users","0"
"0","Users API","1","Retrieve Users","0","0","GET: Retrieve Non-Existing User","0"
"0","Product Management API","1","Update Product","0","0","PUT: Update non-existent product","0"
"0","Cart Management","0","Delete Cart","1","0","Delete Existing Cart","0"
"0","Users API","1","Create User","0","0","POST: Add User with Missing Fields","0"
"0","Cart Management","0","Retrieve Carts","1","0","Get Single Cart","0"
"0","Product Management API","1","Create Product","0","0","POST: Create a new product with invalid data","0"
"0","Product Management API","1","Delete Product","0","0","DELETE: Remove non-existent product","0"
